ROI-1,ROI-2,SCA,HCP
Temporal_Sup_L,Temporal_Mid_L,0.1845785924954861,0.0
Pallidum_L,Pallidum_R,0.29848732551545043,0.12385832099068513
Frontal_Inf_Oper_L,Parietal_Inf_L,0.17293622335982756,0.0
Calcarine_L,Cuneus_L,0.1713405771009008,0.0
OFCmed_L,OFCpost_L,0.0,0.16333557963549408
Cerebelum_4_5_L,Cerebelum_6_L,0.0,0.1607402369000702
Calcarine_L,Calcarine_R,0.4954976074593211,0.6561738364777764
Frontal_Inf_Orb_2_R,OFCpost_R,0.0,0.158592654866064
Temporal_Inf_L,Temporal_Inf_R,0.0,0.15555402473825444
Angular_R,Temporal_Mid_R,0.15329440125370694,0.0
Rectus_R,OFCmed_R,0.15754502292986192,0.31002207421167793
Occipital_Inf_L,Occipital_Inf_R,0.23601888121831344,0.3832087517655965
Supp_Motor_Area_R,Paracentral_Lobule_R,0.14671732653294278,0.0
Putamen_L,Pallidum_L,0.4343442565999009,0.5785463737671732
SupraMarginal_L,Temporal_Mid_L,0.0,0.14395618687987183
Olfactory_R,OFCmed_R,0.0,0.14298517926906537
Cerebelum_6_L,Vermis_6,0.0,0.14109244059377077
Cerebelum_6_R,Cerebelum_8_R,0.0,0.1396575084372761
Olfactory_R,Rectus_R,0.0,0.13915441770724182
Fusiform_R,Cerebelum_6_R,0.13777664429311776,0.0
OFCmed_R,OFCpost_R,0.11167056465393116,0.24775193900040693
Occipital_Mid_R,Temporal_Inf_L,-0.13346176549397226,0.0
Frontal_Mid_2_R,Frontal_Inf_Oper_R,0.13284375050042094,0.0
OFCpost_R,OFClat_R,0.13249908931385387,0.0
Putamen_R,Pallidum_R,0.38178439504696887,0.5135540964298159
Caudate_R,Thalamus_R,0.13047479363770995,0.0
Hippocampus_L,ParaHippocampal_L,0.16683681813831946,0.297017617630383
Frontal_Inf_Oper_R,SupraMarginal_R,0.0,0.12923082499188226
Frontal_Sup_Medial_R,Cingulate_Ant_R,0.0,0.1274469445477847
Frontal_Sup_Medial_L,Cerebelum_7b_L,-0.12668918708361762,0.0
Parietal_Inf_L,Temporal_Inf_L,0.12628969670078988,0.0
Cerebelum_Crus1_L,Cerebelum_Crus2_L,0.29488543682098217,0.4209188792435957
Frontal_Mid_2_R,Parietal_Inf_R,0.1415170437105049,0.2673178146787959
Frontal_Mid_2_R,Angular_R,0.12540636155500587,0.0
Cerebelum_10_L,Cerebelum_10_R,0.323235352006769,0.19804143218222425
Angular_R,Precuneus_R,0.0,0.1245353396729614
Cerebelum_3_R,Vermis_1_2,0.0,0.12435201528603805
Olfactory_R,OFCpost_R,0.0,0.1230251441416284
Supp_Motor_Area_L,Paracentral_Lobule_L,0.12225520635695157,0.0
Postcentral_R,Parietal_Sup_R,0.12208837837719197,0.0
Frontal_Sup_2_L,Supp_Motor_Area_L,0.12102605509385063,0.0
Cerebelum_Crus1_L,Cerebelum_Crus1_R,0.0,0.12071745110712116
