0
Precentral_L Frontal_Inf_Orb_2_R
Rolandic_Oper_L Angular_L
Supp_Motor_Area_R Insula_R
Olfactory_R Rectus_R
Olfactory_R OFCmed_R
Olfactory_R SupraMarginal_L
Frontal_Sup_Medial_L Angular_L
Frontal_Sup_Medial_L Vermis_7
Frontal_Med_Orb_L ParaHippocampal_L
Frontal_Med_Orb_L Temporal_Pole_Mid_L
Rectus_L Temporal_Pole_Mid_L
OFCmed_L Caudate_L
Insula_R Angular_L
Cingulate_Ant_L Occipital_Mid_L
Cingulate_Ant_L Vermis_6
Cingulate_Ant_R Cingulate_Mid_L
Cingulate_Ant_R Cingulate_Mid_R
Cingulate_Ant_R Vermis_7
Cingulate_Ant_R Vermis_8
Cingulate_Mid_L Parietal_Sup_L
Cingulate_Mid_L Parietal_Inf_L
Cingulate_Post_L SupraMarginal_L
Cingulate_Post_L SupraMarginal_R
Cingulate_Post_R SupraMarginal_L
Occipital_Inf_R SupraMarginal_R
Postcentral_L Parietal_Inf_L
Postcentral_L SupraMarginal_L
Postcentral_L Angular_L
Postcentral_L Thalamus_L
Parietal_Inf_L Angular_L
Parietal_Inf_L Temporal_Sup_L
Parietal_Inf_L Temporal_Sup_R
Parietal_Inf_L Cerebelum_Crus2_L
Parietal_Inf_L Cerebelum_Crus2_R
Parietal_Inf_L Cerebelum_7b_L
SupraMarginal_L Angular_L
SupraMarginal_L Thalamus_L
SupraMarginal_L Cerebelum_7b_L
SupraMarginal_R Angular_L
SupraMarginal_R Thalamus_L
SupraMarginal_R Temporal_Sup_R
Angular_L Heschl_L
Angular_L Heschl_R
Angular_L Temporal_Sup_L
Caudate_R Temporal_Mid_R
Thalamus_L Temporal_Sup_L
Temporal_Pole_Sup_L Cerebelum_7b_L
Temporal_Inf_R Cerebelum_Crus2_L
Cerebelum_7b_L Cerebelum_10_R
Cerebelum_10_L Cerebelum_10_R
